17.0;17;28,3
10.0;10;28,3
33.0;33;28,3
13.0;13;28,3
62.0;62;28,3
16.0;16;28,3
15.0;15;28,3
41.0;41;28,3
45.0;45;28,3
31.0;31;28,3
14.0;14;16,9
16.0;16;16,9
11.0;11;16,9
17.0;17;16,9
19.0;19;16,9
17.0;17;16,9
21.0;21;16,9
27.0;27;16,9
10.0;10;16,9
17.0;17;16,9
24.0;24;22,1
25.0;25;22,1
25.0;25;22,1
12.0;12;22,1
9.0;9;22,1
26.0;26;22,1
20.0;20;22,1
17.0;17;22,1
23.0;23;22,1
40.0;40;22,1
13.0;13;32,9
12.0;12;32,9
35.0;35;32,9
102.0;102;32,9
59.0;59;32,9
57.0;57;32,9
17.0;17;32,9
11.0;11;32,9
9.0;9;32,9
14.0;14;32,9
33.0;33;26,7
19.0;19;26,7
35.0;35;26,7
15.0;15;26,7
19.0;19;26,7
56.0;56;26,7
29.0;29;26,7
13.0;13;26,7
34.0;34;26,7
14.0;14;26,7
18.0;18;27
29.0;29;27
56.0;56;27
15.0;15;27
27.0;27;27
17.0;17;27
39.0;39;27
17.0;17;27
41.0;41;27
11.0;11;27
43.0;43;37,5
27.0;27;37,5
34.0;34;37,5
117.0;117;37,5
19.0;19;37,5
32.0;32;37,5
27.0;27;37,5
30.0;30;37,5
11.0;11;37,5
35.0;35;37,5
46.0;46;43,7
22.0;22;43,7
52.0;52;43,7
54.0;54;43,7
33.0;33;43,7
32.0;32;43,7
69.0;69;43,7
49.0;49;43,7
62.0;62;43,7
18.0;18;43,7
25.0;25;30,8
16.0;16;30,8
19.0;19;30,8
34.0;34;30,8
10.0;10;30,8
18.0;18;30,8
24.0;24;30,8
16.0;16;30,8
120.0;120;30,8
26.0;26;30,8
15.0;15;38,2
87.0;87;38,2
29.0;29;38,2
56.0;56;38,2
12.0;12;38,2
8.0;8;38,2
42.0;42;38,2
23.0;23;38,2
51.0;51;38,2
59.0;59;38,2
32.0;32;59,7
54.0;54;59,7
36.0;36;59,7
63.0;63;59,7
73.0;73;59,7
52.0;52;59,7
41.0;41;59,7
113.0;113;59,7
73.0;73;59,7
60.0;60;59,7
40.0;40;59,2
70.0;70;59,2
19.0;19;59,2
55.0;55;59,2
10.0;10;59,2
55.0;55;59,2
164.0;164;59,2
85.0;85;59,2
81.0;81;59,2
13.0;13;59,2
90.0;90;49,3
13.0;13;49,3
52.0;52;49,3
24.0;24;49,3
36.0;36;49,3
63.0;63;49,3
30.0;30;49,3
85.0;85;49,3
51.0;51;49,3
49.0;49;49,3
65.0;65;59,8
26.0;26;59,8
103.0;103;59,8
73.0;73;59,8
45.0;45;59,8
106.0;106;59,8
10.0;10;59,8
38.0;38;59,8
26.0;26;59,8
106.0;106;59,8
71.0;71;61,8
71.0;71;61,8
31.0;31;61,8
97.0;97;61,8
109.0;109;61,8
29.0;29;61,8
78.0;78;61,8
49.0;49;61,8
66.0;66;61,8
17.0;17;61,8
87.0;87;82,2
200.0;200;82,2
45.0;45;82,2
50.0;50;82,2
62.0;62;82,2
90.0;90;82,2
63.0;63;82,2
80.0;80;82,2
72.0;72;82,2
73.0;73;82,2
46.0;46;62,4
38.0;38;62,4
72.0;72;62,4
76.0;76;62,4
35.0;35;62,4
25.0;25;62,4
29.0;29;62,4
59.0;59;62,4
95.0;95;62,4
149.0;149;62,4
11.0;11;68
93.0;93;68
61.0;61;68
32.0;32;68
54.0;54;68
89.0;89;68
50.0;50;68
121.0;121;68
60.0;60;68
109.0;109;68
93.0;93;69,6
20.0;20;69,6
75.0;75;69,6
52.0;52;69,6
56.0;56;69,6
47.0;47;69,6
139.0;139;69,6
