100.0;100
25.0;25
110.0;110
40.0;40
44.0;44
34.0;34
61.0;61
83.0;83
71.0;71
59.0;59
12.0;12
24.0;24
46.0;46
57.0;57
73.0;73
12.0;12
53.0;53
15.0;15
14.0;14
26.0;26
14.0;14
97.0;97
83.0;83
154.0;154
107.0;107
14.0;14
19.0;19
103.0;103
61.0;61
97.0;97
83.0;83
105.0;105
85.0;85
82.0;82
