29.0;29
29.0;29
13.0;13
32.0;32
0;0
36.0;36
14.0;14
22.0;22
73.0;73
39.0;39
0;0
11.0;11
39.0;39
0;0
8.0;8
9.0;9
15.0;15
0;0
0;0
11.0;11
0;0
19.0;19
16.0;16
26.0;26
15.0;15
10.0;10
11.0;11
0;0
25.0;25
42.0;42
36.0;36
27.0;27
15.0;15
9.0;9
15.0;15
12.0;12
0;0
20.0;20
0;0
0;0
12.0;12
0;0
14.0;14
21.0;21
44.0;44
17.0;17
19.0;19
0;0
22.0;22
0;0
46.0;46
0;0
0;0
0;0
15.0;15
19.0;19
0;0
0;0
0;0
9.0;9
0;0
0;0
10.0;10
15.0;15
27.0;27
25.0;25
19.0;19
23.0;23
17.0;17
16.0;16
0;0
0;0
0;0
0;0
8.0;8
24.0;24
11.0;11
14.0;14
36.0;36
0;0
36.0;36
16.0;16
15.0;15
0;0
13.0;13
0;0
49.0;49
0;0
18.0;18
34.0;34
0;0
20.0;20
91.0;91
42.0;42
0;0
0;0
26.0;26
16.0;16
33.0;33
15.0;15
20.0;20
0;0
13.0;13
0;0
15.0;15
36.0;36
7.0;7
22.0;22
20.0;20
15.0;15
12.0;12
14.0;14
11.0;11
28.0;28
10.0;10
23.0;23
9.0;9
20.0;20
20.0;20
12.0;12
20.0;20
12.0;12
0;0
10.0;10
0;0
14.0;14
0;0
0;0
14.0;14
51.0;51
19.0;19
9.0;9
14.0;14
32.0;32
24.0;24
0;0
12.0;12
20.0;20
42.0;42
21.0;21
18.0;18
0;0
16.0;16
14.0;14
18.0;18
29.0;29
14.0;14
16.0;16
0;0
48.0;48
10.0;10
0;0
12.0;12
26.0;26
22.0;22
15.0;15
13.0;13
10.0;10
11.0;11
45.0;45
0;0
22.0;22
8.0;8
0;0
58.0;58
35.0;35
17.0;17
30.0;30
12.0;12
30.0;30
26.0;26
65.0;65
25.0;25
21.0;21
0;0
14.0;14
47.0;47
21.0;21
0;0
20.0;20
15.0;15
0;0
11.0;11
36.0;36
28.0;28
0;0
28.0;28
20.0;20
5.0;5
57.0;57
28.0;28
12.0;12
9.0;9
16.0;16
11.0;11
0;0
16.0;16
11.0;11
0;0
0;0
106.0;106
75.0;75
59.0;59
90.0;90
55.0;55
107.0;107
19.0;19
50.0;50
43.0;43
14.0;14
42.0;42
35.0;35
52.0;52
13.0;13
66.0;66
44.0;44
31.0;31
17.0;17
34.0;34
140.0;140
155.0;155
54.0;54
89.0;89
60.0;60
75.0;75
37.0;37
64.0;64
65.0;65
66.0;66
118.0;118
59.0;59
219.0;219
99.0;99
47.0;47
129.0;129
62.0;62
11.0;11
76.0;76
65.0;65
62.0;62
74.0;74
91.0;91
10.0;10
12.0;12
61.0;61
68.0;68
49.0;49
81.0;81
91.0;91
59.0;59
82.0;82
34.0;34
61.0;61
110.0;110
65.0;65
88.0;88
82.0;82
83.0;83
97.0;97
123.0;123
91.0;91
133.0;133
124.0;124
122.0;122
153.0;153
134.0;134
41.0;41
98.0;98
85.0;85
133.0;133
180.0;180
116.0;116
122.0;122
235.0;235
94.0;94
169.0;169
94.0;94
238.0;238
173.0;173
147.0;147
157.0;157
75.0;75
15.0;15
101.0;101
151.0;151
155.0;155
129.0;129
132.0;132
120.0;120
105.0;105
80.0;80
106.0;106
43.0;43
95.0;95
118.0;118
172.0;172
148.0;148
75.0;75
180.0;180
66.0;66
40.0;40
115.0;115
69.0;69
76.0;76
156.0;156
97.0;97
93.0;93
92.0;92
246.0;246
56.0;56
38.0;38
120.0;120
146.0;146
199.0;199
173.0;173
92.0;92
190.0;190
131.0;131
79.0;79
103.0;103
173.0;173
228.0;228
22.0;22
149.0;149
306.0;306
197.0;197
280.0;280
342.0;342
61.0;61
86.0;86
237.0;237
114.0;114
55.0;55
41.0;41
111.0;111
220.0;220
99.0;99
100.0;100
107.0;107
86.0;86
152.0;152
125.0;125
165.0;165
83.0;83
35.0;35
124.0;124
228.0;228
159.0;159
227.0;227
157.0;157
258.0;258
80.0;80
94.0;94
275.0;275
98.0;98
121.0;121
127.0;127
185.0;185
288.0;288
135.0;135
197.0;197
222.0;222
105.0;105
27.0;27
52.0;52
302.0;302
31.0;31
216.0;216
100.0;100
19.0;19
97.0;97
120.0;120
100.0;100
460.0;460
109.0;109
134.0;134
130.0;130
86.0;86
286.0;286
172.0;172
79.0;79
166.0;166
182.0;182
121.0;121
130.0;130
190.0;190
89.0;89
157.0;157
125.0;125
129.0;129
110.0;110
126.0;126
126.0;126
80.0;80
108.0;108
69.0;69
212.0;212
40.0;40
117.0;117
239.0;239
40.0;40
69.0;69
108.0;108
101.0;101
108.0;108
125.0;125
167.0;167
161.0;161
171.0;171
89.0;89
88.0;88
109.0;109
161.0;161
45.0;45
141.0;141
108.0;108
104.0;104
103.0;103
142.0;142
269.0;269
101.0;101
93.0;93
108.0;108
56.0;56
103.0;103
96.0;96
109.0;109
121.0;121
92.0;92
113.0;113
75.0;75
156.0;156
122.0;122
99.0;99
126.0;126
251.0;251
104.0;104
206.0;206
140.0;140
176.0;176
98.0;98
101.0;101
90.0;90
218.0;218
174.0;174
96.0;96
201.0;201
230.0;230
184.0;184
187.0;187
106.0;106
45.0;45
187.0;187
92.0;92
102.0;102
159.0;159
119.0;119
113.0;113
103.0;103
114.0;114
108.0;108
208.0;208
101.0;101
263.0;263
210.0;210
138.0;138
102.0;102
148.0;148
131.0;131
140.0;140
107.0;107
120.0;120
99.0;99
102.0;102
106.0;106
119.0;119
84.0;84
100.0;100
111.0;111
100.0;100
140.0;140
242.0;242
122.0;122
139.0;139
339.0;339
135.0;135
70.0;70
168.0;168
143.0;143
184.0;184
114.0;114
122.0;122
116.0;116
245.0;245
130.0;130
91.0;91
114.0;114
158.0;158
49.0;49
105.0;105
